,Company,Date_x,Next_Date,Sentiment_Score,Price
2502,OKE,2017-12-31,2018-01-30,0.086186595,42.738624572753906
2503,OKE,2018-12-31,2019-01-30,0.14128509,49.23891830444336
2504,OKE,2019-12-31,2020-01-30,-0.026443996,60.88771438598633
2505,OKE,2020-12-31,2021-02-01,-0.122989685,36.3662109375
2506,OKE,2021-12-31,2022-01-31,-0.063909046,58.90551376342773
2507,OMC,2014-12-31,2015-01-30,-0.017802495,56.82058715820313
2508,OMC,2015-12-31,2016-02-01,0.021562803999999998,59.31446838378906
2509,OMC,2016-12-31,2017-01-30,-0.000361781,71.67084503173828
2510,OMC,2017-12-31,2018-01-30,0.049926818,65.05073547363281
2511,OMC,2018-12-31,2019-01-30,0.116842333,67.77538299560547
2512,OMC,2019-12-31,2020-01-30,0.088751798,68.77969360351561
2513,OMC,2020-12-31,2021-02-01,-0.10210597199999999,59.43667221069336
2514,OMC,2021-12-31,2022-01-31,0.119731709,73.92481994628906
2515,ORLY,2014-12-31,2015-01-30,0.34107704200000005,187.3600006103516
2516,ORLY,2015-12-31,2016-02-01,0.29119585,265.25
2517,ORLY,2016-12-31,2017-01-30,0.24629130800000001,261.8900146484375
2518,ORLY,2017-12-31,2018-01-30,0.199756338,268.26998901367193
2519,ORLY,2018-12-31,2019-01-30,0.18861261399999998,345.67999267578125
2520,ORLY,2019-12-31,2020-01-30,0.19281217,419.8800048828125
2521,ORLY,2020-12-31,2021-02-01,0.226265147,436.5400085449219
2522,ORLY,2021-12-31,2022-01-31,0.330347614,651.75
2523,OXY,2014-12-31,2015-01-30,0.12366475,60.61698913574219
2524,OXY,2015-12-31,2016-02-01,0.017909086,52.52139663696289
2525,OXY,2016-12-31,2017-01-30,0.08511266699999999,55.90906524658203
2526,OXY,2017-12-31,2018-01-30,0.221005591,64.59709930419922
2527,OXY,2018-12-31,2019-01-30,0.283505234,60.38147735595703
2528,OXY,2019-12-31,2020-01-30,0.123419465,39.09201431274414
2529,OXY,2020-12-31,2021-02-01,0.06977662,20.274633407592773
2530,OXY,2021-12-31,2022-01-31,0.183668903,37.5095329284668
2531,PAYX,2015-05-31,2015-06-30,0.252208879,37.56926345825195
2532,PAYX,2016-05-31,2016-06-30,0.29777112699999997,49.33900451660156
2533,PAYX,2017-05-31,2017-06-30,0.274245207,48.72315979003906
2534,PAYX,2018-05-31,2018-07-02,0.246239756,60.14136505126953
2535,PAYX,2019-05-31,2019-07-01,0.22028165600000002,76.22955322265625
2536,PAYX,2020-05-31,2020-06-30,0.151654257,71.37408447265625
2537,PAYX,2021-05-31,2021-06-30,0.255046661,104.15248107910156
