Company,Cik,Date,Sentiment_Score
BBBY,886158,20150228,0.160833037
BBBY,886158,20160227,0.165429216
BBBY,886158,20170225,0.093122672
BBBY,886158,20180303,0.130052001
BBBY,886158,20190302,0.041590441
BBBY,886158,20200229,-0.043546476
BBBY,886158,20210227,0.024584218
BBBY,886158,20220226,-0.021372586
BBT,92230,20141231,0.224630514
BBT,92230,20151231,0.13188784
BBT,92230,20161231,0.165936929
BBT,92230,20171231,0.110549665
BBT,92230,20181231,0.101424551
BBT,92230,20191231,0.062274809
BBT,92230,20201231,0.095241545
BBT,92230,20211231,0.149652655
BBY,764478,20150131,0.004758067
BBY,764478,20160130,0.091056623
BBY,764478,20170128,0.120386581
BBY,764478,20180203,0.132332986
BBY,764478,20190202,0.108479104
BBY,764478,20200201,0.130848873
BBY,764478,20210130,0.139531771
BBY,764478,20220129,0.177216885
BCR,9892,20141231,0.000824477
BCR,9892,20151231,-0.067636147
BCR,9892,20161231,-0.092856126
BDX,10795,20150930,0.024011094
BDX,10795,20160930,0.036364948
BDX,10795,20170930,-0.09445607
BDX,10795,20180930,0.009648058
BDX,10795,20190930,0.129065371
BDX,10795,20200930,0.024646505
BDX,10795,20210930,0.148255484
BEN,38777,20150930,-0.057028252
BEN,38777,20160930,-0.066492426
BEN,38777,20170930,-0.075450093
BEN,38777,20180930,-0.05623849
BEN,38777,20190930,-0.069439781
BEN,38777,20200930,-0.040399094
BEN,38777,20210930,-0.052791483
BFB,14693,20150430,0.356647052
BFB,14693,20160430,0.322682046
BFB,14693,20170430,0.2464272
BFB,14693,20180430,0.328340402
BFB,14693,20190430,0.275392653
BFB,14693,20200430,-0.022195607
BFB,14693,20210430,0.285648668
BFB,14693,20220430,0.400006902
BHI,808362,20141231,0.179572624
BHI,808362,20151231,-0.058258501
BHI,808362,20161231,-0.162969386
BHI,808362,20171231,-0.097636263
BHI,808362,20181231,-0.009359616
BHI,808362,20191231,0.106980258
BHI,808362,20201231,-0.014554228
BHI,808362,20211231,0.133255062
BIIB,875045,20141231,-0.023686887
BIIB,875045,20151231,-0.017645663
BIIB,875045,20161231,-0.043003544
BIIB,875045,20171231,0.010988553
BIIB,875045,20181231,-0.033231898
BIIB,875045,20191231,-0.110671055
BIIB,875045,20201231,-0.077807809
BIIB,875045,20211231,-0.161478186
BLK,1364742,20141231,0.083097897
BLK,1364742,20151231,0.090962213
BLK,1364742,20161231,0.038389786
BLK,1364742,20171231,0.024141968
BLK,1364742,20181231,0.091974398
BLK,1364742,20191231,0.02784008
BLK,1364742,20201231,0.014589791
BLK,1364742,20211231,0.077706418
BLL,9389,20141231,0.136737109
BLL,9389,20151231,-0.018545777
BLL,9389,20161231,0.010464466
BLL,9389,20171231,0.099322025
BLL,9389,20181231,0.246640705
BLL,9389,20191231,0.041323037
BLL,9389,20201231,0.105116934
BLL,9389,20211231,0.09593123
BMY,14272,20141231,0.077208802
BMY,14272,20151231,0.035330602
BMY,14272,20161231,0.012238371
BMY,14272,20171231,0.113258763
BMY,14272,20181231,0.069334905
BMY,14272,20191231,0.127127956
BMY,14272,20201231,-0.007300501
BMY,14272,20211231,0.070552682
BRKB,1067983,20141231,0.185735685
BRKB,1067983,20151231,0.164925478
BRKB,1067983,20161231,0.073242173
BRKB,1067983,20171231,0.126491477
BRKB,1067983,20181231,0.191629788
BRKB,1067983,20191231,0.181121402
BRKB,1067983,20201231,-0.05549488
BRKB,1067983,20211231,0.13303233
BSX,885725,20141231,0.19259187
BSX,885725,20151231,0.141148049
BSX,885725,20161231,0.187731736
BSX,885725,20171231,0.124924901
BSX,885725,20181231,0.107623311
BSX,885725,20191231,0.107899281
BSX,885725,20201231,-0.131993457
BSX,885725,20211231,0.073923041
BWA,908255,20141231,0.06886098
BWA,908255,20151231,-0.013068394
BWA,908255,20161231,0.044459672
BWA,908255,20171231,0.032015327
BWA,908255,20181231,0.091776105
BWA,908255,20191231,-0.053451752
BWA,908255,20201231,-0.070503103
BWA,908255,20211231,0.045128234
BXP,1037540,20141231,0.019480915
BXP,1037540,20151231,0.004808047
BXP,1037540,20161231,0.021838634
BXP,1037540,20171231,0.021330309
BXP,1037540,20181231,0.028422564
BXP,1037540,20191231,0.061432675
BXP,1037540,20201231,-0.034710798
BXP,1037540,20211231,0.037942773
C,831001,20141231,-0.085724788
C,831001,20151231,-0.073665095
C,831001,20161231,-0.055489321
C,831001,20171231,-0.036556099
C,831001,20181231,-0.018462638
C,831001,20191231,-0.075597748
C,831001,20201231,-0.171359346
C,831001,20211231,-0.08930393
CA,356028,20150331,-0.104835029
CA,356028,20160331,-0.001959312
CA,356028,20170331,0.080238217
CA,356028,20180331,0.123431844
CAG,23217,20150531,-0.03758247
CAG,23217,20160529,0.047553095
CAG,23217,20170528,-0.0027114
CAG,23217,20180527,0.071282453
CAG,23217,20190526,0.043981528
CAG,23217,20200531,0.037843265
CAG,23217,20210530,0.063991384
CAG,23217,20220529,-0.067923127
CAH,721371,20150630,0.227053224
CAH,721371,20160630,0.19981439
CAH,721371,20170630,0.084739001
CAH,721371,20180630,0.010288337
CAH,721371,20190630,0.168193676
CAH,721371,20200630,-0.028093925
CAH,721371,20210630,-0.048867059
CB,896159,20141231,0.05513823
CB,896159,20151231,0.02551286
CB,896159,20161231,0.039305489
CB,896159,20171231,0.02228174
CB,896159,20181231,0.049473601
CB,896159,20191231,0.098108824
CB,896159,20201231,0.039090674
CB,896159,20211231,0.041425028
CBG,1138118,20141231,0.183190782
CBG,1138118,20151231,0.267332377
CBG,1138118,20161231,0.251598018
CBG,1138118,20171231,0.283493562
CBG,1138118,20181231,0.241497703
CBG,1138118,20191231,0.219771056
CBG,1138118,20201231,0.010052367
CBG,1138118,20211231,0.076663564
CBS,813828,20141231,0.04224878
CBS,813828,20151231,0.063397798
CBS,813828,20161231,0.076297059
CBS,813828,20171231,0.06710776
CBS,813828,20181231,0.116999785
CBS,813828,20191231,-0.030312791
CBS,813828,20201231,-0.053324213
CBS,813828,20211231,0.074786365
CCI,1051470,20141231,0.173260888
CCI,1051470,20151231,0.138332666
CCI,1051470,20161231,0.125774679
